EmployeeID,Name,Department,Position,Location,Salary,HireDate,PerformanceScore
EMP0250,Employee 250,Operations,Junior Operation,London,117663,2020-04-20,3.9
EMP0251,Employee 251,Engineering,Senior Engineering,Sydney,50528,2022-02-03,2.9
EMP0252,Employee 252,HR,Senior HR,Sydney,81375,2020-07-04,3.9
EMP0253,Employee 253,HR,Junior HR,New York,124725,2020-08-16,3.6
EMP0254,Employee 254,Finance,Senior Finance,Tokyo,155178,2020-09-10,3.8
EMP0255,Employee 255,Operations,Lead Operation,Berlin,187137,2020-08-25,3.7
EMP0256,Employee 256,HR,Analyst HR,New York,123347,2020-11-30,4.9
EMP0257,Employee 257,Engineering,Director Engineering,London,135159,2023-12-10,3.6
EMP0258,Employee 258,Operations,Junior Operation,Tokyo,111591,2021-03-15,3.3
EMP0259,Employee 259,Engineering,Analyst Engineering,Sydney,166472,2022-06-28,2.8
EMP0260,Employee 260,Operations,Senior Operation,Tokyo,146708,2022-01-22,4.7
EMP0261,Employee 261,Marketing,Manager Marketing,Berlin,88524,2023-05-18,4.0
EMP0262,Employee 262,Operations,Lead Operation,Sydney,165630,2020-09-28,3.5
EMP0263,Employee 263,Operations,Senior Operation,London,78956,2023-06-28,4.0
EMP0264,Employee 264,Engineering,Senior Engineering,London,168408,2020-02-10,4.5
EMP0265,Employee 265,Marketing,Lead Marketing,Berlin,138189,2020-02-29,3.8
EMP0266,Employee 266,Marketing,Manager Marketing,New York,106639,2021-10-26,4.3
EMP0267,Employee 267,Marketing,Senior Marketing,Tokyo,143729,2021-11-05,4.9
EMP0268,Employee 268,Operations,Lead Operation,Sydney,144518,2021-11-12,3.7
EMP0269,Employee 269,HR,Lead HR,San Francisco,101625,2022-12-04,3.0
EMP0270,Employee 270,Operations,Manager Operation,Sydney,163102,2022-10-26,3.6
EMP0271,Employee 271,HR,Junior HR,New York,152998,2023-11-06,3.7
EMP0272,Employee 272,Finance,Manager Finance,New York,54620,2023-11-25,3.9
EMP0273,Employee 273,Marketing,Analyst Marketing,New York,171423,2020-03-06,2.8
EMP0274,Employee 274,Engineering,Senior Engineering,Tokyo,193343,2021-10-12,3.0
EMP0275,Employee 275,Engineering,Director Engineering,London,198221,2021-09-04,4.3
EMP0276,Employee 276,Operations,Manager Operation,Tokyo,126160,2023-09-02,3.1
EMP0277,Employee 277,HR,Lead HR,Berlin,131437,2021-06-10,2.8
EMP0278,Employee 278,Finance,Senior Finance,New York,144633,2020-01-10,3.4
EMP0279,Employee 279,HR,Junior HR,Sydney,182435,2023-05-15,3.4
EMP0280,Employee 280,Finance,Manager Finance,Sydney,168163,2022-12-06,4.3
EMP0281,Employee 281,Finance,Junior Finance,New York,60452,2020-03-11,3.0
EMP0282,Employee 282,Sales,Junior Sale,Berlin,155264,2020-05-22,2.8
EMP0283,Employee 283,Finance,Senior Finance,London,146608,2021-06-09,4.8
EMP0284,Employee 284,HR,Senior HR,San Francisco,170435,2020-05-30,4.4
EMP0285,Employee 285,Operations,Director Operation,San Francisco,176533,2022-05-28,4.0
EMP0286,Employee 286,Marketing,Lead Marketing,Berlin,125668,2020-06-13,3.1
EMP0287,Employee 287,Sales,Manager Sale,San Francisco,132321,2020-08-08,2.7
EMP0288,Employee 288,Marketing,Director Marketing,San Francisco,174147,2022-01-05,3.6
EMP0289,Employee 289,Engineering,Analyst Engineering,Berlin,98470,2021-07-31,3.6
EMP0290,Employee 290,HR,Director HR,New York,172961,2023-01-31,3.0
EMP0291,Employee 291,Marketing,Director Marketing,New York,114104,2021-10-02,4.1
EMP0292,Employee 292,HR,Director HR,Sydney,160233,2020-09-12,4.6
EMP0293,Employee 293,HR,Senior HR,Sydney,126292,2020-06-27,4.6
EMP0294,Employee 294,Operations,Manager Operation,London,119288,2022-09-27,3.5
EMP0295,Employee 295,Finance,Director Finance,Berlin,61261,2020-05-06,3.2
EMP0296,Employee 296,Operations,Senior Operation,Berlin,97449,2021-06-15,4.8
EMP0297,Employee 297,HR,Lead HR,Berlin,180823,2022-12-28,4.5
EMP0298,Employee 298,Engineering,Lead Engineering,Sydney,130441,2020-01-26,2.8
EMP0299,Employee 299,Operations,Senior Operation,Tokyo,129576,2020-10-28,3.8
EMP0300,Employee 300,Sales,Junior Sale,Berlin,82736,2021-01-13,3.2
EMP0301,Employee 301,Marketing,Lead Marketing,New York,159508,2022-12-28,4.2
EMP0302,Employee 302,Finance,Senior Finance,London,58896,2023-12-25,3.6
EMP0303,Employee 303,Engineering,Junior Engineering,Tokyo,141553,2023-08-04,3.4
EMP0304,Employee 304,Marketing,Lead Marketing,London,137077,2020-07-27,4.0
EMP0305,Employee 305,Sales,Analyst Sale,San Francisco,192382,2021-01-22,2.6
EMP0306,Employee 306,Finance,Director Finance,Tokyo,140801,2021-09-12,4.8
EMP0307,Employee 307,Sales,Director Sale,New York,60423,2023-01-21,4.9
EMP0308,Employee 308,Sales,Director Sale,New York,114984,2020-07-03,2.9
EMP0309,Employee 309,Operations,Senior Operation,New York,181237,2022-07-19,2.7
EMP0310,Employee 310,Operations,Lead Operation,New York,66538,2023-11-19,4.5
EMP0311,Employee 311,Sales,Junior Sale,San Francisco,84404,2023-10-03,4.2
EMP0312,Employee 312,Sales,Senior Sale,Sydney,189612,2020-08-01,3.3
EMP0313,Employee 313,HR,Senior HR,San Francisco,61781,2020-03-01,4.6
EMP0314,Employee 314,Marketing,Lead Marketing,San Francisco,92238,2023-06-24,4.5
EMP0315,Employee 315,Marketing,Director Marketing,London,168316,2023-10-31,2.7
EMP0316,Employee 316,Marketing,Lead Marketing,Berlin,153699,2020-09-28,5.0
EMP0317,Employee 317,Operations,Manager Operation,Tokyo,198774,2023-10-14,4.0
EMP0318,Employee 318,Sales,Lead Sale,Berlin,126629,2021-02-26,2.6
EMP0319,Employee 319,Finance,Manager Finance,New York,68427,2023-08-24,4.9
EMP0320,Employee 320,Finance,Junior Finance,Berlin,121580,2021-02-14,3.1
EMP0321,Employee 321,HR,Manager HR,Sydney,54453,2022-02-22,3.1
EMP0322,Employee 322,Engineering,Manager Engineering,New York,142928,2020-06-09,4.6
EMP0323,Employee 323,Operations,Analyst Operation,Sydney,174692,2020-10-15,3.3
EMP0324,Employee 324,Operations,Manager Operation,Tokyo,57751,2023-01-27,4.0
EMP0325,Employee 325,Marketing,Junior Marketing,New York,51887,2023-01-05,4.8
EMP0326,Employee 326,HR,Analyst HR,New York,56034,2020-11-03,5.0
EMP0327,Employee 327,Sales,Senior Sale,London,47458,2021-01-02,3.6
EMP0328,Employee 328,Sales,Manager Sale,San Francisco,138545,2020-12-11,3.8
EMP0329,Employee 329,HR,Senior HR,London,104604,2023-06-28,2.6
EMP0330,Employee 330,Finance,Manager Finance,Berlin,145387,2020-02-06,4.3
EMP0331,Employee 331,Sales,Senior Sale,Tokyo,63243,2023-02-11,3.1
EMP0332,Employee 332,Sales,Director Sale,London,90699,2022-01-10,3.4
EMP0333,Employee 333,Sales,Manager Sale,Sydney,124317,2023-10-31,4.0
EMP0334,Employee 334,Engineering,Manager Engineering,New York,128588,2023-11-23,3.8
EMP0335,Employee 335,Finance,Manager Finance,Tokyo,191781,2022-01-26,3.3
EMP0336,Employee 336,Marketing,Manager Marketing,Sydney,76413,2020-08-04,4.9
EMP0337,Employee 337,Operations,Manager Operation,London,144039,2020-05-28,3.2
EMP0338,Employee 338,Engineering,Senior Engineering,Berlin,40415,2023-06-18,2.9
EMP0339,Employee 339,Engineering,Senior Engineering,London,94801,2020-03-10,3.9
EMP0340,Employee 340,HR,Junior HR,Sydney,119021,2022-11-09,2.8
EMP0341,Employee 341,HR,Analyst HR,Sydney,184838,2021-08-20,4.8
EMP0342,Employee 342,HR,Analyst HR,New York,121084,2022-11-21,3.1
EMP0343,Employee 343,Operations,Junior Operation,Berlin,168861,2022-05-30,4.1
EMP0344,Employee 344,Sales,Senior Sale,Tokyo,97447,2020-06-23,4.9
EMP0345,Employee 345,Finance,Analyst Finance,London,132903,2023-09-28,4.1
EMP0346,Employee 346,Operations,Manager Operation,New York,195548,2021-07-23,3.6
EMP0347,Employee 347,Engineering,Lead Engineering,London,109524,2023-01-17,4.3
EMP0348,Employee 348,Operations,Senior Operation,London,121048,2022-04-28,3.9
EMP0349,Employee 349,Sales,Senior Sale,New York,164278,2023-03-21,4.2
EMP0350,Employee 350,Sales,Lead Sale,New York,48589,2022-04-27,4.7
EMP0351,Employee 351,Operations,Manager Operation,Berlin,40078,2021-10-13,4.0
EMP0352,Employee 352,Sales,Lead Sale,Tokyo,116270,2020-05-15,3.0
EMP0353,Employee 353,Marketing,Junior Marketing,Tokyo,65694,2020-05-30,2.9
EMP0354,Employee 354,Finance,Lead Finance,Berlin,106363,2021-04-07,4.6
EMP0355,Employee 355,Marketing,Junior Marketing,Sydney,170279,2020-07-02,3.4
EMP0356,Employee 356,Finance,Analyst Finance,Tokyo,52649,2023-08-26,4.1
EMP0357,Employee 357,Operations,Analyst Operation,Tokyo,89218,2021-05-21,3.2
EMP0358,Employee 358,Operations,Director Operation,Sydney,101048,2022-05-24,2.6
EMP0359,Employee 359,Sales,Director Sale,Berlin,141184,2021-11-10,3.4
EMP0360,Employee 360,Engineering,Director Engineering,Tokyo,82830,2023-08-02,3.3
EMP0361,Employee 361,Marketing,Director Marketing,Tokyo,173045,2022-05-08,4.7
EMP0362,Employee 362,Sales,Junior Sale,Berlin,146406,2023-04-07,4.7
EMP0363,Employee 363,Sales,Lead Sale,San Francisco,112388,2022-06-18,4.2
EMP0364,Employee 364,Operations,Senior Operation,Berlin,173675,2022-10-06,3.7
EMP0365,Employee 365,Marketing,Analyst Marketing,Sydney,154723,2020-09-02,4.9
EMP0366,Employee 366,Finance,Analyst Finance,Sydney,189931,2020-03-15,3.8
EMP0367,Employee 367,HR,Junior HR,Tokyo,65639,2021-01-02,2.7
EMP0368,Employee 368,HR,Lead HR,New York,187370,2021-04-01,3.7
EMP0369,Employee 369,Engineering,Manager Engineering,London,195996,2021-01-19,4.9
EMP0370,Employee 370,HR,Director HR,Tokyo,183285,2020-05-29,3.2
EMP0371,Employee 371,HR,Senior HR,New York,82697,2020-11-18,3.1
EMP0372,Employee 372,HR,Lead HR,London,105576,2020-10-06,4.9
EMP0373,Employee 373,Engineering,Manager Engineering,Berlin,194372,2021-05-20,4.5
EMP0374,Employee 374,Engineering,Senior Engineering,Tokyo,112123,2022-03-22,4.2
EMP0375,Employee 375,Finance,Analyst Finance,New York,121151,2021-01-01,4.5
EMP0376,Employee 376,HR,Analyst HR,Sydney,88978,2021-03-04,3.7
EMP0377,Employee 377,Operations,Junior Operation,New York,104002,2020-10-16,3.2
EMP0378,Employee 378,Engineering,Senior Engineering,Tokyo,167267,2020-06-15,3.2
EMP0379,Employee 379,Sales,Lead Sale,Sydney,138937,2021-09-13,4.2
EMP0380,Employee 380,HR,Director HR,Tokyo,108083,2020-07-07,3.9
EMP0381,Employee 381,Finance,Manager Finance,Berlin,161524,2020-09-02,2.8
EMP0382,Employee 382,Marketing,Junior Marketing,Tokyo,177197,2020-02-08,2.9
EMP0383,Employee 383,Operations,Lead Operation,San Francisco,116513,2022-12-03,4.2
EMP0384,Employee 384,HR,Manager HR,New York,85376,2023-04-07,4.3
EMP0385,Employee 385,Engineering,Junior Engineering,London,109946,2023-11-16,4.9
EMP0386,Employee 386,Engineering,Senior Engineering,Berlin,121187,2020-01-23,3.9
EMP0387,Employee 387,Finance,Lead Finance,Sydney,95485,2020-12-12,4.5
EMP0388,Employee 388,Marketing,Junior Marketing,Berlin,126992,2021-04-29,3.9
EMP0389,Employee 389,Engineering,Junior Engineering,Sydney,68346,2022-01-01,3.1
EMP0390,Employee 390,Engineering,Director Engineering,Tokyo,157254,2023-08-11,4.3
EMP0391,Employee 391,Sales,Junior Sale,Tokyo,62646,2023-04-05,3.0
EMP0392,Employee 392,Marketing,Senior Marketing,Sydney,132703,2020-07-15,3.0
EMP0393,Employee 393,Marketing,Analyst Marketing,New York,131822,2020-04-23,3.5
EMP0394,Employee 394,Engineering,Junior Engineering,Tokyo,137458,2021-03-14,3.6
EMP0395,Employee 395,Finance,Manager Finance,New York,130703,2023-11-04,4.4
EMP0396,Employee 396,HR,Senior HR,London,124109,2020-01-06,4.9
EMP0397,Employee 397,Operations,Senior Operation,London,182390,2021-05-13,3.0
EMP0398,Employee 398,Engineering,Junior Engineering,Tokyo,149808,2023-03-12,4.0
EMP0399,Employee 399,Engineering,Manager Engineering,Sydney,88201,2022-01-12,4.0
EMP0400,Employee 400,Marketing,Manager Marketing,Sydney,62004,2022-05-21,2.8
EMP0401,Employee 401,Operations,Manager Operation,San Francisco,56014,2022-09-03,3.3
EMP0402,Employee 402,HR,Senior HR,San Francisco,93270,2020-03-10,3.1
EMP0403,Employee 403,HR,Senior HR,Sydney,100172,2022-02-18,4.6
EMP0404,Employee 404,Sales,Junior Sale,London,103237,2020-01-05,3.4
EMP0405,Employee 405,Engineering,Analyst Engineering,Sydney,185481,2023-09-13,4.2
EMP0406,Employee 406,Sales,Director Sale,San Francisco,63308,2021-11-10,3.6
EMP0407,Employee 407,Engineering,Senior Engineering,San Francisco,85869,2023-08-23,4.9
EMP0408,Employee 408,Operations,Director Operation,San Francisco,170069,2023-05-04,3.5
EMP0409,Employee 409,Engineering,Analyst Engineering,New York,110505,2022-07-06,2.9
EMP0410,Employee 410,Engineering,Lead Engineering,San Francisco,172356,2023-09-21,3.9
EMP0411,Employee 411,Finance,Senior Finance,Sydney,144405,2022-05-20,3.4
EMP0412,Employee 412,Finance,Analyst Finance,Tokyo,133733,2022-04-30,4.0
EMP0413,Employee 413,HR,Manager HR,Tokyo,172640,2022-12-27,3.4
EMP0414,Employee 414,Engineering,Analyst Engineering,New York,187622,2021-06-09,3.9
EMP0415,Employee 415,Finance,Director Finance,Sydney,77356,2022-03-18,3.1
EMP0416,Employee 416,Finance,Senior Finance,Berlin,92428,2023-06-13,3.6
EMP0417,Employee 417,Engineering,Director Engineering,Tokyo,110498,2022-05-30,3.3
EMP0418,Employee 418,Marketing,Manager Marketing,Tokyo,169402,2022-11-15,3.3
EMP0419,Employee 419,Finance,Director Finance,Tokyo,123512,2020-11-24,3.1
EMP0420,Employee 420,Marketing,Analyst Marketing,San Francisco,144915,2023-06-24,3.1
EMP0421,Employee 421,Engineering,Lead Engineering,Berlin,172998,2022-11-20,4.4
EMP0422,Employee 422,Operations,Analyst Operation,New York,190726,2022-07-09,4.3
EMP0423,Employee 423,Sales,Analyst Sale,New York,169089,2021-10-02,3.1
EMP0424,Employee 424,Finance,Junior Finance,San Francisco,67272,2021-08-31,3.6
EMP0425,Employee 425,Marketing,Manager Marketing,Berlin,128290,2023-03-19,3.1
EMP0426,Employee 426,Sales,Junior Sale,New York,140001,2020-01-09,3.4
EMP0427,Employee 427,HR,Director HR,Sydney,112259,2022-05-25,4.8
EMP0428,Employee 428,Engineering,Manager Engineering,Berlin,187367,2021-09-16,4.0
EMP0429,Employee 429,Sales,Manager Sale,San Francisco,154677,2022-11-17,3.8
EMP0430,Employee 430,HR,Director HR,New York,127519,2021-08-07,4.0
EMP0431,Employee 431,Finance,Director Finance,San Francisco,115031,2020-10-02,3.3
EMP0432,Employee 432,HR,Analyst HR,Tokyo,112735,2020-04-04,3.1
EMP0433,Employee 433,Operations,Junior Operation,New York,89246,2021-10-22,3.5
EMP0434,Employee 434,HR,Manager HR,Sydney,85229,2022-12-03,4.0
EMP0435,Employee 435,Sales,Director Sale,Sydney,158190,2022-12-14,4.3
EMP0436,Employee 436,Operations,Director Operation,Tokyo,185841,2023-03-28,4.8
EMP0437,Employee 437,Finance,Analyst Finance,Tokyo,80143,2021-08-31,4.9
EMP0438,Employee 438,Operations,Lead Operation,Berlin,127114,2023-10-26,3.8
EMP0439,Employee 439,Operations,Senior Operation,London,171491,2023-05-17,4.2
EMP0440,Employee 440,Operations,Junior Operation,Sydney,91633,2023-05-03,4.6
EMP0441,Employee 441,Finance,Junior Finance,Berlin,47579,2020-01-19,4.3
EMP0442,Employee 442,Operations,Lead Operation,Berlin,144382,2020-05-21,3.5
EMP0443,Employee 443,Operations,Manager Operation,London,50175,2023-08-15,2.9
EMP0444,Employee 444,Marketing,Senior Marketing,San Francisco,95455,2020-06-22,3.3
EMP0445,Employee 445,Sales,Lead Sale,Berlin,114726,2020-08-13,4.2
EMP0446,Employee 446,Sales,Senior Sale,San Francisco,192919,2022-05-22,4.2
EMP0447,Employee 447,Marketing,Director Marketing,Sydney,90405,2023-09-14,3.9
EMP0448,Employee 448,Marketing,Analyst Marketing,New York,129200,2022-08-20,3.0
EMP0449,Employee 449,Marketing,Lead Marketing,London,143934,2021-03-25,3.1
EMP0450,Employee 450,HR,Analyst HR,Tokyo,75079,2022-12-29,3.9
EMP0451,Employee 451,Finance,Manager Finance,Berlin,165845,2020-11-25,3.7
EMP0452,Employee 452,Operations,Manager Operation,Sydney,159864,2020-12-05,4.7
EMP0453,Employee 453,Marketing,Senior Marketing,Tokyo,163202,2020-01-04,4.2
EMP0454,Employee 454,HR,Lead HR,Tokyo,50165,2022-02-01,4.1
EMP0455,Employee 455,HR,Junior HR,Tokyo,171729,2021-05-28,3.0
EMP0456,Employee 456,Sales,Junior Sale,Tokyo,192739,2021-07-04,4.3
EMP0457,Employee 457,Finance,Director Finance,Tokyo,120162,2023-08-20,4.7
EMP0458,Employee 458,Operations,Analyst Operation,San Francisco,156469,2023-08-05,3.2
EMP0459,Employee 459,Finance,Analyst Finance,San Francisco,94480,2023-04-19,3.0
EMP0460,Employee 460,Sales,Manager Sale,Berlin,135210,2023-04-02,2.8
EMP0461,Employee 461,Finance,Lead Finance,Tokyo,80099,2022-07-05,2.9
EMP0462,Employee 462,Engineering,Lead Engineering,London,65243,2023-08-19,3.5
EMP0463,Employee 463,Sales,Manager Sale,Sydney,89071,2020-02-15,5.0
EMP0464,Employee 464,Marketing,Director Marketing,Berlin,114163,2022-06-02,3.1
EMP0465,Employee 465,Sales,Senior Sale,Berlin,50501,2022-05-29,3.8
EMP0466,Employee 466,Sales,Lead Sale,San Francisco,124880,2020-07-08,3.4
EMP0467,Employee 467,Sales,Manager Sale,Tokyo,65205,2022-07-15,3.3
EMP0468,Employee 468,Engineering,Lead Engineering,Tokyo,105511,2021-04-11,2.6
EMP0469,Employee 469,Engineering,Director Engineering,Sydney,133528,2023-09-19,4.6
EMP0470,Employee 470,Finance,Senior Finance,Berlin,164213,2022-03-26,2.9
EMP0471,Employee 471,Marketing,Analyst Marketing,London,74797,2021-04-12,3.4
EMP0472,Employee 472,Engineering,Senior Engineering,Tokyo,113713,2022-12-16,4.8
EMP0473,Employee 473,Marketing,Analyst Marketing,Berlin,94055,2021-06-19,4.3
EMP0474,Employee 474,Engineering,Lead Engineering,Tokyo,45229,2020-12-20,2.8
EMP0475,Employee 475,Engineering,Analyst Engineering,Berlin,41794,2021-06-15,4.0
EMP0476,Employee 476,HR,Lead HR,San Francisco,150405,2023-05-23,4.8
EMP0477,Employee 477,Sales,Lead Sale,San Francisco,59891,2020-03-14,2.6
EMP0478,Employee 478,Operations,Senior Operation,Berlin,149511,2021-02-26,3.5
EMP0479,Employee 479,Marketing,Analyst Marketing,Sydney,83089,2023-10-17,2.5
EMP0480,Employee 480,Operations,Analyst Operation,Tokyo,117179,2021-04-11,2.9
EMP0481,Employee 481,Engineering,Analyst Engineering,New York,127309,2022-07-28,4.4
EMP0482,Employee 482,HR,Lead HR,Berlin,43276,2023-08-07,4.9
EMP0483,Employee 483,Engineering,Lead Engineering,New York,153988,2022-09-06,2.8
EMP0484,Employee 484,HR,Analyst HR,New York,145911,2023-03-19,3.3
EMP0485,Employee 485,Sales,Senior Sale,Sydney,181186,2020-03-26,2.5
EMP0486,Employee 486,Finance,Junior Finance,Tokyo,172978,2021-03-22,3.4
EMP0487,Employee 487,Sales,Director Sale,New York,155572,2020-11-07,3.7
EMP0488,Employee 488,Sales,Senior Sale,San Francisco,82020,2023-04-11,3.0
EMP0489,Employee 489,Operations,Senior Operation,London,49153,2020-09-19,2.9
EMP0490,Employee 490,Marketing,Senior Marketing,Berlin,113624,2020-12-01,2.6
EMP0491,Employee 491,HR,Analyst HR,Berlin,139679,2023-11-15,2.7
EMP0492,Employee 492,Finance,Manager Finance,New York,193625,2020-09-10,4.6
EMP0493,Employee 493,Engineering,Lead Engineering,Sydney,176110,2021-07-23,2.6
EMP0494,Employee 494,Marketing,Analyst Marketing,Berlin,152930,2021-10-26,2.9
EMP0495,Employee 495,Engineering,Director Engineering,London,185311,2023-01-18,4.7
EMP0496,Employee 496,HR,Senior HR,London,70196,2020-07-04,3.2
EMP0497,Employee 497,Sales,Analyst Sale,London,154654,2022-12-03,4.4
EMP0498,Employee 498,Sales,Senior Sale,San Francisco,66428,2023-10-18,4.7
EMP0499,Employee 499,HR,Manager HR,Tokyo,63384,2020-02-01,3.3
EMP0500,Employee 500,Finance,Director Finance,Berlin,126646,2020-09-30,2.9
